Budget Constraints,Allocated Budget Distribution,Response Text,Influencer Partnerships Budget,Targeted Ads Budget,Content Creation Budget,"Goals_20% increase in followers, 10% increase in sales; workflow stage: strategy.","Goals_20% increase in followers, 15% increase in sales. workflow stage: strategy.",Goals_Brand Awareness,Goals_Engagement,Goals_Lead Generation,Goals_Sales,Goals_Website Traffic,"Goals_achieve 10% market share within the first year, workflow stage: strategy","Goals_acquire 10,000 new users in 3 months; workflow stage: image generation.",Goals_drive 500 app downloads within 2 weeks,Goals_drive 500 sales within the first month. workflow stage: image generation.,Goals_generate 1 million views on youtube within 6 weeks and increase console sales by 30%.,Goals_increase bookings by 25% in 4 months,Goals_increase brand followers by 500% in 3 months,Goals_increase followers by 20% in 3 months,"Goals_increase followers by 20% in 3 months, workflow stage: strategy",Goals_increase followers by 20% in 3 months; workflow stage: strategy.,Goals_increase followers by 20% in 6 weeks,"Goals_increase followers by 20% in 6 weeks, workflow stage: strategy",Goals_increase followers by 50% and drive sales by 20% in 3 months,"Goals_publish 3 blog posts per week, workflow stage: post scheduling.","Goals_reach 10,000 followers within 3 months",Goals_sales,Audience Category_Boomer,Audience Category_Business Owner,Audience Category_Gen Z,Audience Category_Millennial
-0.4268007107404287,"Allocate $2,000 for influencer partnerships, $1,500 for targeted ads, and $1,500 for content creation","""Revolutionize Your Wardrobe"" campaign, leveraging Instagram and TikTok influencers to showcase eco-friendly fashion. Collaborate with 5 influencers for sponsored content, utilizing hashtags #SustainabilityInFashion and #GreenCycleClothing. Allocate $2,000 for influencer partnerships, $1,500 for targeted ads, and $1,500 for content creation. Monitor engagement and adjust ad spend accordingly.",-0.11768121484173522,-0.13141627088567606,-0.18832880646203967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.6848662567695251,"Allocate Mondays for ""Myth-Busting Mondays"" and Thursdays for ""Throwback Thursdays,"" highlighting past successes","""AI Insights"" series, covering topics like AI adoption, ML applications, and industry trends. Allocate Mondays for ""Myth-Busting Mondays"" and Thursdays for ""Throwback Thursdays,"" highlighting past successes. Utilize SEO keywords, meta descriptions, and optimize images. Schedule 8 articles per month, with 2 in-depth guides and 2 listicles.",,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8635270194050533,Allocate 30% of the budget to Instagram Reels and TikTok ads targeting the specified age group,"Develop a social media contest, ""Eco-Chic Challenge,"" where followers share their eco-friendly fashion tips using a branded hashtag. Partner with eco-influencers to promote the contest. Allocate 30% of the budget to Instagram Reels and TikTok ads targeting the specified age group. Create engaging content (images, videos, and captions) highlighting GreenThreads' commitment to sustainability.",-0.15234672624152862,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.4268007107404287,"Allocate $2,000 for influencer partnerships, $1,500 for sponsored posts, and $1,500 for prize giveaways","Launch a social media contest, ""Green Revolution,"" where followers share eco-friendly fashion tips using a branded hashtag. Collaborate with 5 eco-influencers to promote the contest. Allocate $2,000 for influencer partnerships, $1,500 for sponsored posts, and $1,500 for prize giveaways.",-0.11768121484173522,-0.13141627088567606,-0.18832880646203967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.00330853264139866,"Allocate $3,000 for Facebook and Instagram ads, $2,000 for Google Ads, and $5,000 for influencer partnerships","Create eye-catching ad visuals showcasing fit individuals using the app, with bold headlines emphasizing AI-driven personalized workouts. Allocate $3,000 for Facebook and Instagram ads, $2,000 for Google Ads, and $5,000 for influencer partnerships.",-0.10008450854742384,-0.11089248779112791,0.05916274781824357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.7708881054458905,Allocate $500 for influencer collaborations and $500 for paid social media ads,"Launch a ""Sustainable Fashion Challenge"" on TikTok and Instagram, encouraging users to share their eco-friendly fashion choices using a branded hashtag. Partner with 5 eco-influencers to promote the challenge and create engaging content. Allocate $500 for influencer collaborations and $500 for paid social media ads.",-0.14407627428320227,-0.1724638370747724,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8635270194050533,"Allocate $1,000 for sponsored content","Launch a TikTok hashtag challenge, #VerdiVibes, where users showcase eco-friendly fashion choices. Collaborate with 5 eco-influencers to promote the brand. Utilize Instagram Reels and Snapchat for behind-the-scenes content. Allocate $1,000 for sponsored content.",-0.13527792113604659,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.7708881054458905,"Allocate $300 for influencer partnerships, $200 for content creation, and $500 for paid advertising","Develop a campaign centered around Instagram Reels, utilizing hashtags like #EcoFashion and #Sustainability, and collaborating with micro-influencers in the eco-friendly niche. Allocate $300 for influencer partnerships, $200 for content creation, and $500 for paid advertising. Utilize Instagram's built-in features like polls and quizzes to engage the audience and encourage user-generated content.",-0.14759561554206457,-0.1847781069315013,-0.25904067911354917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-0.7708881054458905,"Allocate $300/month for influencer partnerships, $200/month for content creation, and $500/month for paid social media ads","Create a social media calendar highlighting eco-friendly fashion tips, behind-the-scenes content, and user-generated content (UGC) campaigns. Partner with eco-influencers for sponsored content and utilize Instagram Reels and TikTok for engaging, bite-sized content. Allocate $300/month for influencer partnerships, $200/month for content creation, and $500/month for paid social media ads.",-0.14759561554206457,-0.1847781069315013,-0.25904067911354917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-0.4268007107404287,"Allocate $2,000 for sponsored content, $1,500 for influencer collaborations, and $1,500 for content creation","Launch a 6-week social media campaign across Facebook, Instagram, and Twitter, focusing on engaging visuals and influencer partnerships. Allocate $2,000 for sponsored content, $1,500 for influencer collaborations, and $1,500 for content creation. Utilize relevant hashtags and tag eco-conscious influencers to amplify reach.",-0.11768121484173522,-0.13141627088567606,-0.18832880646203967,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
